time,Y,Ybar,Ybar_lo,Ybar_hi
15,764,536.591356300501,482.917000097624,584.02636317203
51,477,554.768113089722,475.388961944113,641.840365570411
87,856,552.2881058098,457.865438409348,668.480696610662
123,489,528.032453595853,440.421247014887,644.171482839443
159,593,485.820109677379,424.943603605179,579.727303227509
195,532,432.439949608087,379.437446205218,518.596579802368
231,456,374.880322939258,267.637361536968,466.289171375731
267,609,318.641455508018,171.342264666234,414.046847814433
303,NA,267.527250675584,102.89034562449,395.676162233121
339,NA,223.957781904174,58.7729573763812,383.96657963275
