time,Y,Ybar,Ybar_lo,Ybar_hi
1,335,306.24411207988,259.356143668587,367.186882197695
2,518,379.986110158805,301.533862136783,470.35403848979
3,376,426.841481607016,331.032208293768,518.133903199511
4,623,437.324698920723,351.995206771408,504.71275170681
5,613,415.403067393988,358.856987742629,475.723403920416
6,448,374.382388187671,276.970018401853,485.345471420083
7,347,329.089521224817,176.958683807862,509.528591556642
8,179,289.879304466804,99.8954859312645,546.222811523601
9,NA,260.940428187653,50.1378233576273,581.643110202822
10,NA,241.90718998979,22.5613781596945,613.681677815168
