time,Y,Ybar,Ybar_lo,Ybar_hi
15,51950,52620.5473159254,50999.7892210155,54115.0842233388
51,49762,59561.149331294,56098.1694324644,61465.0451006266
87,61870,67940.115592681,62838.9966307292,70648.5162569141
123,79663,77946.884620096,72540.3415786617,80734.3236107367
159,101199,89835.9890965466,85518.4199310244,92460.0596966545
195,108558,103941.579162004,100139.450628369,107357.648063632
231,117581,120694.763450897,113978.294702057,128150.277076096
267,111950,140647.037450424,127234.091886307,156003.042694178
303,NA,164502.682952812,141369.793566357,193723.852684185
339,NA,193163.283460398,156251.936744776,243491.455803906
