time,Y,Ybar,Ybar_lo,Ybar_hi
15,4541,4105.9328365757,3925.44232957177,4241.12635462631
51,3820,3823.91290854693,3482.68730278586,4110.99490827667
87,2549,3734.77091691587,3319.72341866402,4125.64554601032
123,3157,3815.14877367339,3451.07833597847,4189.29852265617
159,4965,4062.25583177926,3861.0535144603,4338.67439256561
195,4977,4489.53696651694,4260.87587550577,4859.1987829139
231,4681,5125.93795348242,4528.86325306379,5969.79522348415
267,5027,6017.60184019982,4849.97083304734,7723.29840201045
303,NA,7231.34286316711,5228.5347769682,10251.0827827753
339,NA,8859.9233477912,5679.57347377709,13760.3823491445
