time,Y,Ybar,Ybar_lo,Ybar_hi
15,3497,3297.94315533229,3234.84097326977,3413.54273935585
51,3136,3451.77407047063,3388.17690014372,3558.42523833951
87,3121,3602.33745228773,3513.85289401486,3687.08347258779
123,4922,3748.95421544711,3638.13674465008,3832.16070986171
159,4275,3891.22386902875,3766.56983205575,4024.3634847508
195,3826,4028.99321342576,3898.23328683414,4225.51787206268
231,4382,4162.31327885614,3976.40089549453,4430.89141925292
267,4887,4291.39791320681,3996.49953750252,4643.85686917921
303,NA,4416.5914624387,4000.75545369797,4890.78100572376
339,NA,4538.34751772699,3992.21690398512,5159.20868859174
