time,Y,Ybar,Ybar_lo,Ybar_hi
1,1649,1399.57107849426,1326.84954521434,1482.61973705318
2,1742,1827.06990932015,1736.17515274932,1928.95559263089
3,2567,2250.81660341075,2140.768484163,2389.90606011212
4,2886,2633.84091998962,2499.50801556806,2754.84835980445
5,3094,2949.79235001107,2781.2751305212,3086.99402727886
6,3154,3184.47780145997,2905.8538468979,3385.03778023644
7,3307,3334.69979262751,2891.24268148711,3712.82500002329
8,2656,3405.86568013598,2730.02853580381,4007.14212200176
9,NA,3409.09566227572,2459.74760381562,4246.52108915164
10,NA,3358.36778939898,2151.03451728138,4428.07031926184
