time,Y,Ybar,Ybar_lo,Ybar_hi
15,442,313.941545429408,272.816124919042,359.313338076288
51,375,412.138615425038,326.11739954167,501.929472277668
87,443,505.674520639285,405.55216524582,642.474348002702
123,639,575.743248194004,474.711931144416,717.364430305837
159,766,613.81098375919,539.530997812178,715.888891833983
195,726,620.778278173986,569.098678883747,675.037435252833
231,486,602.934462152826,521.209225034342,695.692990736723
267,484,568.931608739381,413.929230971447,756.670454126677
303,NA,527.105924857899,302.939611990484,820.707568509538
339,NA,483.95302332449,211.172194234209,879.562582860737
