time,Y,Ybar,Ybar_lo,Ybar_hi
15,6000,5385.94167003787,4913.37829592436,5733.42416857818
51,5200,4345.98292336843,3603.08319874893,5190.65716527989
87,4100,3857.47423911121,3170.96939976446,4868.15335886983
123,4200,3680.57410518457,3104.45410902279,4585.85076618258
159,3300,3735.84921227755,3081.11848987446,4448.85418800615
195,3400,4010.31648704373,3226.20625423751,4627.37701799933
231,6400,4532.15786761615,3428.53743537683,5523.0404417953
267,7700,5368.44496532685,3533.38407780179,7079.25316414142
303,NA,6636.41990612935,3766.58124783348,9502.75207102542
339,NA,8528.71761413209,3995.68274391286,13594.1250567891
