time,Y,Ybar,Ybar_lo,Ybar_hi
15,10858,8988.36464455858,8792.89000670937,9244.35401411305
51,8390,9237.45230555792,8988.26408833417,9574.44178815205
87,9044,9492.64321761253,9206.27041859626,9997.71481454313
123,10716,9754.49599885172,9451.42797637535,10319.6998486144
159,10099,10025.0473350744,9719.6446744578,10536.8231879659
195,9314,10307.6661735109,9990.59921066927,10653.688351486
231,9681,10606.8392319308,10272.3007170497,10813.7263334202
267,9006,10927.9440742687,10447.2496145208,11350.4628723135
303,NA,11277.0599403846,10435.5652411925,12085.8582328536
339,NA,11660.8486263201,10302.6539998524,12955.2866488316
