time,Y,Ybar,Ybar_lo,Ybar_hi
15,405,430.247547545446,401.377224592818,449.284914439196
51,521,452.200454814696,406.302161677146,485.272041480155
87,393,481.504995484637,419.060251263423,525.988026352401
123,809,518.464626783107,443.186363170514,561.294445259666
159,588,564.228312095063,487.63960030559,600.672969104514
195,578,620.934376613216,556.334298807816,679.273700904519
231,806,692.001581469134,611.948808987045,790.171913798918
267,981,782.620113607163,622.517363223539,940.55063579561
303,NA,900.556788004487,618.304176193435,1189.86246696492
339,NA,1057.48237096126,607.863921015335,1576.25743078964
