time,Y,Ybar,Ybar_lo,Ybar_hi
1,1627,1835.67135839051,1658.9330965686,1975.78796117789
2,1856,1917.62629789767,1589.84021063255,2130.56719974154
3,2280,2060.7427426845,1727.80013054816,2292.48528034043
4,2211,2249.59951823756,1986.83134561144,2474.42033202004
5,2715,2473.82066623638,2280.74026258251,2686.54809064381
6,3656,2728.22176474438,2585.32283208029,2918.47577055489
7,2449,3016.95276649504,2785.21025042092,3270.43207409419
8,2223,3356.11786128638,2883.93551218045,4032.10181312636
9,NA,3779.23517668473,2887.53200685975,5238.26215498601
10,NA,4347.53533094707,2856.03661460425,7144.24311536738
