time,Y,Ybar,Ybar_lo,Ybar_hi
1,2233,1523.16074119774,1431.59430031145,1609.9446621916
2,1113,1467.0154224959,1271.46814741559,1631.73312381594
3,1137,1485.27555584563,1261.30374738925,1688.10866245059
4,1308,1571.57786318865,1345.03743581333,1774.56304603743
5,1813,1734.78022117967,1535.80021701205,1894.64214895136
6,2196,2001.28036713665,1712.87831955179,2274.50400467116
7,2514,2427.39737578195,1789.01321506618,3247.1210883585
8,1710,3135.24152613403,1849.30300096684,5189.39893427826
9,NA,4419.50614782227,1918.37897454901,9558.53584051845
10,NA,7099.41053354708,1997.18292110685,20480.5453738562
