time,Y,Ybar,Ybar_lo,Ybar_hi
15,705,489.550467972326,426.952064639491,551.261693904209
51,834,718.835695531156,620.137086283302,838.072721637168
87,961,996.721424196569,866.911220762863,1163.21669935511
123,1557,1315.08662936094,1190.27858987882,1463.49435597102
159,1793,1668.80491759941,1549.16832230762,1788.24724857181
195,2778,2056.74082804965,1734.22271492229,2318.27872706891
231,1965,2482.52347150377,1784.46031311989,3065.35154738591
267,2442,2955.70398824967,1751.32031887249,4109.26874597263
303,NA,3493.28802214071,1651.30784331766,5548.44565215605
339,NA,4121.74726820437,1499.37205238559,7509.67148909464
