time,Y,Ybar,Ybar_lo,Ybar_hi
15,780,753.332676829372,670.015916308291,820.638968175139
51,884,743.557519315944,610.06432985886,835.817294570609
87,779,743.169319099863,560.430270845979,876.051718315017
123,1005,748.153024324868,558.348634103489,902.287809077756
159,611,757.378796896019,601.732818735307,899.11034355843
195,712,772.559501656846,672.689820916535,881.430480916994
231,923,799.077757559009,697.556388465522,923.365104466529
267,765,847.900318952687,644.657600333527,1181.94993780351
303,NA,939.474290944758,580.666778218375,1692.34022281447
339,NA,1111.94983295594,479.110880382455,2608.25186795698
