time,Y,Ybar,Ybar_lo,Ybar_hi
1,3866,4247.56153405679,4153.22203021719,4366.26357442766
2,4883,4393.47348278633,4205.03196759183,4580.53072579893
3,4749,4497.12026973077,4251.42423434184,4735.42690915262
4,4598,4557.34566345806,4310.43185535437,4795.31277582781
5,4770,4575.76273465123,4381.40120518747,4771.70335850591
6,4792,4555.98125122966,4422.43996613689,4701.20062084749
7,4333,4502.86535736365,4328.0888834557,4653.44840423494
8,4038,4422.00304205885,4151.68248843877,4768.37384012301
9,NA,4319.40392381211,3936.89128351384,4908.97429559373
10,NA,4201.35266854299,3634.49655050162,5069.19788483179
