time,Y,Ybar,Ybar_lo,Ybar_hi
15,15623,20204.7801864168,19604.1099407844,21769.6068831688
51,17916,21705.5146617529,20687.7455404686,23211.6856271145
87,19574,22976.428845819,21697.3973069689,24734.656977794
123,23961,24006.5120000427,22369.165560478,25641.6385628293
159,28293,24825.3106503,22912.4465581076,26255.5605817005
195,23730,25448.5208408095,23399.1038404909,26936.6716065502
231,29412,25893.4206423946,23362.3684124499,27701.1623589088
267,30468,26183.1289169179,22797.7638697827,28923.2045598983
303,NA,26346.8195931637,21950.103828765,30419.0906493355
339,NA,26417.8689062301,20283.9399547337,32335.0023381169
