time,Y,Ybar,Ybar_lo,Ybar_hi
15,1117,751.447157242451,642.210526640961,976.773852831292
51,809,879.978112584794,709.59664898907,1219.54558889856
87,1607,977.483107063046,791.671635828473,1281.31741749792
123,1092,1072.13748390043,898.072793209382,1284.99738849341
159,842,1175.80548061068,1018.63352442231,1328.85372907071
195,1336,1294.80598288374,1104.61373417017,1502.7333801262
231,1706,1436.32681079275,1070.32503595644,1733.47583372
267,2140,1611.13057529562,1005.118573051,2047.32119293678
303,NA,1835.90527446758,935.149939862637,2565.39137858365
339,NA,2136.90687611382,863.207835812873,3414.73639652882
