time,Y,Ybar,Ybar_lo,Ybar_hi
15,2018,2106.25606075635,2046.73487867248,2177.52775926337
51,1745,2156.81988074662,1993.43237806933,2358.76600899026
87,1870,2186.77255066401,1966.11035460432,2448.1231157461
123,2791,2200.69617672091,1981.39565427634,2444.86692035911
159,1868,2206.11695798591,2014.81293226363,2384.78591515811
195,3164,2212.73471938394,2037.65376817447,2362.70674767942
231,1959,2230.87176921548,2061.20384287199,2535.51164714257
267,3206,2271.91133159215,2018.51315047872,2826.35380362239
303,NA,2351.10171913242,1908.81454753822,3230.43876381138
339,NA,2494.34887063642,1795.51554064212,3832.3616738591
