time,Y,Ybar,Ybar_lo,Ybar_hi
15,3179,2420.99765227525,2196.43361972764,2702.60734302193
51,4399,3164.61207563084,2688.63743094216,3834.12872420094
87,3227,3749.75512694668,3164.35373897834,4513.51334372502
123,3840,4179.88576572012,3606.35667760011,4897.12112114793
159,4822,4436.95392205542,3953.8625957125,4885.94935769681
195,4354,4530.52722018914,4084.99285847476,4816.43958192115
231,3828,4491.5276952565,3716.25978544512,4997.40793718728
267,3783,4357.93985178315,3115.64740397927,5112.6129499002
303,NA,4164.56662757422,2413.42168731867,5138.56176708638
339,NA,3938.6575817562,1802.40651901973,5086.90653590563
