time,Y,Ybar,Ybar_lo,Ybar_hi
15,2383,2713.2425988891,2598.36166523219,2841.22905040752
51,2974,2788.29983618208,2521.06858909461,3135.51851981782
87,3439,2852.47022247302,2559.26920848212,3302.83479588827
123,3637,2887.69833836125,2631.98850971054,3315.2163315927
159,3783,2887.77015588329,2708.15432616458,3198.10541264313
195,2570,2853.80745013489,2689.43473205203,3045.57263903541
231,2601,2791.4583997577,2500.79427580968,3006.84760374179
267,2178,2708.56439158784,2147.02098406464,3105.37898612103
303,NA,2613.27200436446,1758.96216609699,3204.34595986479
339,NA,2512.78189152042,1396.77661043788,3304.3834776709
