time,Y,Ybar,Ybar_lo,Ybar_hi
15,37097,38338.9957376741,37553.1544335693,40004.0206200747
51,42611,40503.5953809543,39086.7740490043,43150.0812624326
87,44414,42416.6174042956,40747.9506694332,44745.9874659485
123,40426,44340.0363071116,42694.4624938778,46170.0212105146
159,44877,46323.1042391596,44960.2128030563,47534.4110003646
195,48388,48381.5674721303,47511.2410604936,49089.3388460131
231,50701,50528.1353774862,49666.1846449961,51420.071577982
267,39195,52777.3695999547,51010.2137853152,54659.3512748613
303,NA,55146.6449721056,52199.9634437724,58532.9800434915
339,NA,57656.6063539275,53336.662855584,63192.5089446883
