time,Y,Ybar,Ybar_lo,Ybar_hi
15,37240,36789.1219404332,36238.5496969185,37347.72368348
51,32340,37359.748562227,36793.4041962019,38505.6467390683
87,39830,37936.9248750462,37324.6101502495,39467.6548093661
123,37800,38519.9060331039,37925.5318812132,40157.313056621
159,41580,39113.2356696645,38409.6315620968,40714.0862382881
195,40110,39726.2718996919,38805.0177912461,41279.2217881135
231,41580,40372.0536635995,39186.3659485988,42075.9703092328
267,34580,41065.9832270379,39543.6498345213,43787.9087704078
303,NA,41824.7766510089,39347.853009593,46003.5388384532
339,NA,42665.928221091,38701.6984843273,48635.3116525261
