time,Y,Ybar,Ybar_lo,Ybar_hi
15,869,614.28363598195,501.416126993536,764.482266903318
51,1431,887.549215090213,658.835327270828,1110.31833348981
87,1921,1108.63625150025,822.532750923566,1364.70767600954
123,1211,1235.17225781864,961.337072174541,1419.02052675769
159,1176,1262.40156949847,1051.00782113786,1431.13683737667
195,903,1205.96348161101,1027.26916731158,1356.09063477783
231,1338,1093.73042773287,864.030585139242,1317.38768301092
267,849,956.491079403336,628.914926941089,1365.62066259243
303,NA,819.052156443381,433.091023302373,1386.84302119668
339,NA,696.124058823263,288.406667445135,1382.42110612379
