time,Y,Ybar,Ybar_lo,Ybar_hi
15,41666,45489.0999159536,44265.8455553398,46236.5512692639
51,41224,46266.7795278896,43597.7306223012,48188.7718687451
87,46521,47962.648469199,44409.3954238934,51163.8503986347
123,48974,50553.5003111832,47464.5377185054,53920.5899491043
159,57373,54076.3268100641,52443.4451712721,56432.3997985916
195,57696,58617.6608502952,57305.5021297372,61118.6047395597
231,65682,64317.5823820654,60497.7397190244,71318.4292454423
267,65963,71384.6776529333,62125.3771121999,85482.5500784837
303,NA,80118.9667084093,63434.3701068341,105176.814514672
339,NA,90942.7663695145,64477.6596065122,132028.313505177
