time,Y,Ybar,Ybar_lo,Ybar_hi
15,1412,1427.69103114368,1321.41155460732,1585.33008804621
51,1766,1593.38923144987,1446.00444611324,1752.48517435069
87,1858,1716.38498062239,1553.7074973984,1933.95055445662
123,1721,1787.72045711597,1649.52827261482,2016.73515081323
159,2244,1807.32728575618,1697.11751595406,1973.78846095072
195,1367,1782.38362483282,1666.47093373701,1914.54826623501
231,1993,1724.01404332009,1534.87163844866,1940.83218214539
267,1461,1644.20636137329,1317.17430662675,1990.60912378566
303,NA,1553.77430321147,1100.82559064165,2033.1579307174
339,NA,1461.38941736284,900.806658179794,2070.83473642832
