time,Y,Ybar,Ybar_lo,Ybar_hi
15,1477,1530.86420333055,1455.13953403979,1587.15474446452
51,1726,1541.57115005583,1411.7708106082,1601.64240528207
87,1895,1594.84586599094,1478.41065661744,1660.38060969477
123,1360,1683.13970760394,1559.24159735771,1784.95211189067
159,2428,1803.70058730651,1657.39102204976,2075.98978578802
195,2424,1954.64639753261,1789.39804137711,2451.39089833551
231,2273,2134.57942103275,1885.32187548259,2860.96129416934
267,1797,2344.47802983596,1962.21474814801,3294.90072355859
303,NA,2591.37088840632,2023.95984639367,3824.10090333928
339,NA,2893.84702048109,2086.8614042234,4514.22354430584
