time,Y,Ybar,Ybar_lo,Ybar_hi
15,1448,1051.1295373242,935.817471445854,1224.85741315811
51,1514,1547.16890678937,1345.87328468331,1844.27078151184
87,2395,1932.10158100366,1636.50400890254,2287.37404898552
123,1886,2129.79951321053,1811.32005630747,2498.05679939529
159,1994,2133.28969017897,1889.03387955035,2460.29046336869
195,2252,1981.21680028808,1835.02908410972,2218.31785009618
231,1635,1735.50174223359,1591.42704496885,1915.37098544594
267,1171,1457.92149731659,1229.56595370436,1740.60614403608
303,NA,1193.85210722654,837.974188998929,1609.09832843772
339,NA,967.616641922876,532.957060635009,1525.48559936979
