time,Y,Ybar,Ybar_lo,Ybar_hi
15,1761,1031.07801651237,1011.7571656082,1058.74193674566
51,1312,1062.45211007239,1024.93797314896,1136.00367983476
87,1772,1090.38950018852,1039.73679051156,1198.23380151921
123,1546,1114.22013281495,1051.59889027496,1237.13618820635
159,1110,1133.75247518653,1059.20346213456,1255.18374948233
195,1140,1149.29305086397,1058.50742581045,1278.12410018569
231,921,1161.59853006332,1049.69943604198,1295.14918399139
267,469,1171.78225784732,1000.71791301752,1316.60695077228
303,NA,1181.20229670578,924.642976207869,1383.68107291731
339,NA,1191.35501467886,840.524161288609,1466.84970336186
