time,Y,Ybar,Ybar_lo,Ybar_hi
15,2283,2731.52666841428,2622.24119529429,2878.62184527671
51,3249,2942.72454287378,2739.6509333234,3228.81325017658
87,2784,3142.81012386595,2890.99607436229,3490.10479964976
123,3659,3336.11171705375,3090.78915902074,3640.77558290409
159,3484,3530.86070921717,3330.59775608284,3718.46318449508
195,3417,3736.79184456366,3560.8159614871,3955.06692860498
231,4281,3964.80280773155,3583.17708542451,4403.33091729311
267,3844,4227.40105287586,3529.41011965258,5093.93225530829
303,NA,4539.640684895,3456.07519648652,6040.3683167915
339,NA,4920.54788188976,3371.40898336673,7294.52191565968
