time,Y,Ybar,Ybar_lo,Ybar_hi
15,959,649.719778851021,585.722672748096,712.291934083601
51,1168,937.74291456031,764.801478250946,1086.16954824448
87,1613,1196.47439340399,948.18650484776,1379.5414186076
123,1672,1378.4301376457,1137.97904050799,1506.02851092313
159,1277,1473.59264019157,1313.78343828119,1570.80068984624
195,1361,1497.69035722036,1281.4655237008,1659.14790929281
231,1594,1474.68387187342,1071.64151810135,1814.62910339494
267,1352,1426.29815965638,852.171824842288,2015.47105914192
303,NA,1368.51557575165,654.055761296395,2256.64741334096
339,NA,1311.70574544069,488.884391295549,2507.1411746298
