time,Y,Ybar,Ybar_lo,Ybar_hi
15,1261,647.023756370259,572.063678442636,698.5261805053
51,604,718.513362009642,598.670607246641,808.754236547142
87,935,803.891169145157,646.893182428797,935.765420094903
123,793,904.492949837406,726.954080039991,1050.57455906765
159,867,1024.68189297049,871.164878327203,1148.0625000332
195,912,1174.41420485424,1102.38956013322,1237.50254560857
231,1743,1374.13485867522,1267.40544734507,1591.04651622031
267,667,1665.43654752859,1314.2635077845,2463.11158712519
303,NA,2135.41841130591,1327.73753793936,4176.79883092676
339,NA,2975.52588418019,1323.44863234375,7711.48596901786
