time,Y,Ybar,Ybar_lo,Ybar_hi
15,7877,8441.99208690671,8208.11354144348,8616.53544123953
51,6861,8831.96205751933,8299.78945815889,9200.46726075841
87,7701,9282.07664565493,8681.03389137416,9717.01819447491
123,11988,9782.17029015218,9316.39609353577,10127.5433820128
159,12774,10319.4659386487,9942.72205391183,10592.768644597
195,11085,10878.1786476195,10276.3551387251,11531.6706541214
231,8508,11442.3450631784,10278.9428724362,12704.8332355362
267,5483,12002.827613863,10095.4589265861,14198.2415454113
303,NA,12566.2264496648,9800.91981595463,16090.953643482
339,NA,13160.8818075242,9409.16324090441,18486.7313803199
