time,Y,Ybar,Ybar_lo,Ybar_hi
15,9893,7432.95916360955,6853.02254732382,8479.87708705352
51,8804,9429.18991700295,8393.57035632582,10920.0438017787
87,10638,11159.3154762414,10014.6987313794,13044.7378360252
123,17593,12399.5629239273,11564.0725614388,14056.34838541
159,16714,13054.5011622144,11839.5114731063,14086.4114784028
195,12742,13151.9420365378,11131.9741109647,15020.7033455158
231,10642,12799.898096122,9906.86226012944,16551.4587383584
267,6368,12138.2949674194,8037.19241703525,17944.0604190022
303,NA,11303.1335384867,6069.05311145453,19182.0606024228
339,NA,10406.7505242706,4362.40956686302,20267.526103946
