time,Y,Ybar,Ybar_lo,Ybar_hi
15,2237,1510.73816563919,1406.95391591655,1768.60563937052
51,1684,1832.3534727103,1579.33448955142,2644.32815123441
87,1265,2087.38842084673,1786.89337324162,3041.99329511519
123,2712,2278.72818203902,2024.85239741323,2956.89176560054
159,2478,2455.34332321541,2292.84368541856,2704.79635480663
195,2931,2655.26962788815,2235.74389450245,2943.56071920819
231,3087,2902.28801598512,1874.59484794311,3578.97886331486
267,1870,3216.63828606599,1527.43391890694,4453.38129445612
303,NA,3621.3793872248,1221.97213872878,5622.38452380229
339,NA,4145.13450773132,962.87449697775,7186.09544387805
