time,Y,Ybar,Ybar_lo,Ybar_hi
15,5924,8073.74026796504,7912.11760467391,8304.02201581995
51,7621,8561.87084737077,8153.33762863161,9194.83642617575
87,8272,8983.4612287903,8471.91651842897,9700.74573700254
123,10035,9334.8954091095,8874.33380798716,9869.67209576316
159,10817,9626.73737419961,9152.87100920117,9897.1373453876
195,10714,9879.12462688962,8779.80903516389,10402.0990821026
231,8222,10116.4114831324,7976.07969519214,11078.0632081307
267,6376,10362.7382429932,7087.71042934322,11926.8938513393
303,NA,10639.407375095,6197.4681891643,12930.9682221057
339,NA,10964.1507148753,5358.991022079,14179.7417637671
