time,Y,Ybar,Ybar_lo,Ybar_hi
15,6764,6452.76855661192,6284.12020209316,6807.14348909684
51,5973,6858.37569515827,6517.54674643026,7485.9674254809
87,6950,7123.32791460189,6795.46881950333,7637.04574486167
123,7887,7367.52218763643,6969.29925755744,7805.18874908773
159,8646,7592.11362311476,7047.45376087835,7865.85919990412
195,8141,7794.16567210468,7045.35786303015,8196.99223094293
231,6099,7977.70785624856,6821.07268859161,8716.9220201752
267,4136,8150.26566980232,6528.02617517945,9406.16271738183
303,NA,8320.38445940255,6121.68846484125,10214.2174055338
339,NA,8496.66238554838,5590.07375019434,11157.1702469895
