time,Y,Ybar,Ybar_lo,Ybar_hi
1,2112,1916.39593587734,1755.18177494987,2076.3971593332
2,3484,2831.76202917324,2400.54762386127,3295.57163515004
3,3768,3658.04352058247,2997.93000458242,4332.14126122962
4,3850,4244.58136185476,3586.14900696778,4838.29200689996
5,4912,4568.74946407286,4121.85282355437,4924.10386602259
6,4425,4673.9183882884,4416.28618019571,4996.66738841574
7,4280,4616.76764356571,4151.3496343391,5202.76392139626
8,3922,4449.24785794267,3699.30781632051,5499.12570168362
9,NA,4215.30572238955,3168.62768370561,5766.68401821812
10,NA,3950.46669940414,2640.6060622766,6023.09291967531
