time,Y,Ybar,Ybar_lo,Ybar_hi
1,1693,1697.31658041946,1475.89735133388,1903.51827588494
2,1848,1573.68911658035,1209.27932471399,1824.8641959
3,954,1533.12655950096,1230.48388432799,1749.20807147083
4,1200,1528.48654429911,1343.23139689399,1678.5522056412
5,2315,1545.20939839326,1452.48204577035,1640.39703970782
6,1845,1581.09073144573,1506.68644413484,1730.32963357704
7,1425,1640.13300852672,1482.6200596744,1975.63614309837
8,1107,1730.22970914529,1433.99257190159,2373.38982530457
9,NA,1863.46143058709,1380.59009641908,3001.9674492377
10,NA,2057.97033563621,1329.77249723715,3906.99727359322
