time,Y,Ybar,Ybar_lo,Ybar_hi
1,762,591.276953584163,536.720415430723,659.30030633664
2,458,767.588456895742,668.320878986483,886.721748625272
3,817,953.683674464861,820.946727987729,1136.37972896095
4,1547,1136.18323969259,1000.69670190501,1325.13429828189
5,1676,1306.55690998194,1203.91268606015,1436.72666272814
6,1381,1461.61541754457,1379.92477123975,1539.10660541863
7,1446,1601.76567036685,1425.75533172053,1773.67091161407
8,1945,1729.33009874242,1365.48511607096,2128.60599464002
9,NA,1847.73472426106,1284.85868145732,2553.51797784506
10,NA,1961.29851867976,1163.23646466658,3061.50727346725
