time,Y,Ybar,Ybar_lo,Ybar_hi
1,1276,1599.04366322422,1427.58761727661,1744.20394203897
2,1763,1691.32812955322,1366.92966831366,1887.34841769623
3,2858,1795.25091424877,1438.18632718727,2005.16691735765
4,1863,1896.45601702884,1596.02496442527,2096.47058196027
5,1735,1992.61577995552,1839.57924008308,2124.22166440946
6,2170,2086.39382450965,1973.62831616795,2268.76572997943
7,2339,2183.19544302892,1911.82203691139,2721.78699778542
8,1564,2290.31748308682,1782.37877528921,3296.1924980017
9,NA,2416.81355964642,1628.30336060665,4006.7254377915
10,NA,2573.8304424384,1466.18191786412,4880.82264373119
