time,Y,Ybar,Ybar_lo,Ybar_hi
15,1245,1347.82587058933,1178.45677850916,1565.82216277538
51,1248,1303.58834798322,1160.15397065921,1593.74495753135
87,1354,1195.60539013936,1096.15609158641,1323.54517596849
123,833,1098.30788794239,1011.58446538272,1178.22715396609
159,1116,1014.77451382525,896.93608706957,1128.18169570278
195,1173,940.06159472994,787.723059006494,1114.20701612518
231,795,872.662609913745,687.957764653808,1130.80064632984
267,1164,813.070019768041,596.577810947843,1165.00166434525
303,NA,762.849420853859,509.445883015401,1232.43905285987
339,NA,724.478334519254,415.234511785194,1342.12233028897
