time,Y,Ybar,Ybar_lo,Ybar_hi
1,2836,2400.43646380574,2323.03770325379,2520.88050610477
2,2527,2569.65165942238,2426.2869217297,2809.3229099848
3,3617,2655.03754269427,2475.80228358137,2908.68986560986
4,2216,2652.79975831259,2452.24324851915,2840.48712527648
5,2908,2571.22654626043,2362.26380918716,2758.81212040925
6,2928,2425.71813217153,2162.98954050439,2674.76963049792
7,1731,2234.33944088239,1827.18226767725,2620.29034159789
8,1292,2014.97831051871,1458.36108337343,2574.7042012836
9,NA,1783.79894122221,1123.31224435961,2509.38169654082
10,NA,1554.41543413027,847.289065022909,2427.80850747803
