time,Y,Ybar,Ybar_lo,Ybar_hi
1,1518,1495.98993862436,1373.31255159966,1660.02263864967
2,1743,1525.58533220091,1256.32027791438,1802.300021552
3,1511,1563.12993929251,1244.4216128208,1854.941044357
4,1331,1613.90326289715,1290.80736840286,1903.19159872295
5,1714,1673.92282315305,1372.68033735299,1950.7096023043
6,1999,1741.246685553,1425.74714896616,2003.23771666997
7,1972,1815.04598950481,1461.36273160208,2112.87720471425
8,1588,1895.12554959397,1494.75265503816,2330.31944944026
9,NA,1981.76200349853,1499.2289083277,2586.04173137296
10,NA,2075.69098904334,1488.34147599135,2881.59793023212
