time,Y,Ybar,Ybar_lo,Ybar_hi
15,870,820.89117395527,774.81372724866,868.167244224262
51,840,819.429766052257,695.344402877969,945.765261432501
87,844,821.293315527942,664.481990358175,982.359982251493
123,514,824.543550857202,664.013233593312,978.592827469097
159,1093,830.91532253446,694.936116733908,960.449703982522
195,790,843.110090871584,760.024157035436,977.467589886772
231,930,864.250092721667,765.142784555642,999.21279204924
267,1337,898.955373985579,711.995915778846,1090.21650289875
303,NA,955.836637148757,663.673830910503,1396.89842075649
339,NA,1052.88625478238,620.374266062402,1937.88636357234
