time,Y,Ybar,Ybar_lo,Ybar_hi
15,2460,1550.32553097987,1056.27180840557,1851.72402562905
51,1245,1403.40371419713,1018.78532378051,1723.27688522559
87,996,1258.20317983625,980.796422893274,1570.48208236529
123,1851,1117.7946617124,880.036256952592,1391.04291737211
159,1318,986.596407716153,763.005053531237,1247.0945847678
195,1106,868.672428048138,649.354065393217,1229.78248775394
231,715,767.019507424794,534.799860104457,1226.06321758968
267,392,683.467949925791,419.360731299408,1229.57703513841
303,NA,618.631609701192,291.306494752708,1240.43316692435
339,NA,571.931917393531,191.356508984048,1279.56707968174
