time,Y,Ybar,Ybar_lo,Ybar_hi
15,5284,3924.8744812251,3753.90239188598,4166.6056073987
51,4419,3296.83488583135,2967.18174286489,3796.46720340651
87,2850,2752.92662114322,2411.4433433772,3291.34738957073
123,2716,2278.62118296861,2025.63254150333,2691.8799839128
159,1783,1870.15627856449,1723.74685494222,2091.24851660616
195,1636,1526.35718418729,1429.94800929293,1607.65059422709
231,1479,1244.17817889649,1082.85143764657,1415.71767628133
267,1467,1017.64880421887,743.955788022744,1311.67633477097
303,NA,838.817225305443,499.048438181669,1235.31471657972
339,NA,699.194653657282,332.002453326113,1179.2854799239
