time,Y,Ybar,Ybar_lo,Ybar_hi
15,1114,1136.62836654487,1066.42381882816,1207.84638249251
51,1289,1269.32133073407,1172.11081646474,1397.70677789336
87,1196,1360.85176947623,1218.33439326447,1505.47358818894
123,2196,1402.93576104743,1261.23753099034,1522.97348426409
159,1154,1395.11672063555,1298.27840618612,1468.13063128252
195,1504,1342.07185403022,1288.04197802743,1385.86578141606
231,776,1252.41338733159,1137.90737540625,1394.09048583277
267,911,1138.62980639855,908.975715985894,1426.09485132357
303,NA,1016.31520614274,635.400152932453,1458.0576457111
339,NA,900.720773516428,396.71515631084,1486.25047325395
