time,Y,Ybar,Ybar_lo,Ybar_hi
1,1347,1892.64197404705,1831.90402522978,1962.86979348594
2,2027,2010.54326042006,1908.69048102352,2107.96232201685
3,2908,2043.57486178566,1882.7085326908,2212.79740888534
4,3183,1986.69436123117,1826.29935423177,2189.13525610998
5,1906,1847.34030650372,1694.64621325454,2015.72665004296
6,1299,1644.23975602291,1488.04840484141,1763.61541535452
7,1789,1404.55780664192,1216.05103059298,1570.38942657884
8,2345,1158.3093430115,899.02316615299,1426.29498197521
9,NA,930.811687082328,577.028689003547,1290.34097015319
10,NA,736.898186868958,338.54506449068,1153.81387999008
