time,Y,Ybar,Ybar_lo,Ybar_hi
1,1634,1831.21326853419,1763.74381734928,1925.88555591194
2,2845,1813.06394579036,1681.93774166404,1981.93663992644
3,1790,1819.20097381058,1667.55786963967,2054.09140906547
4,1359,1848.72511448946,1724.87568459654,2099.39071778452
5,1605,1903.58588659852,1790.06425925822,2123.96982152981
6,1748,1988.6058750249,1792.56448441455,2188.54293754537
7,2994,2111.90705190273,1777.96560072663,2458.1506682425
8,2200,2285.83596703947,1761.38990596058,2966.64160859441
9,NA,2528.57691468382,1724.0147395887,3729.83763063969
10,NA,2866.77994993134,1646.32885667858,4849.09807259401
