time,Y,Ybar,Ybar_lo,Ybar_hi
15,1320,353.227403329345,311.128725431639,396.516667426737
51,1670,583.273662847596,478.481266495811,763.447347598902
87,1118,883.243949056981,705.514711870687,1263.48809486235
123,1029,1223.6780978668,980.713698383075,1752.96632359984
159,1118,1565.88639593366,1279.478822969,2072.12410014874
195,2009,1884.28568968331,1525.06731834942,2275.43275015783
231,2135,2179.55255755583,1627.35512912345,3011.36891416029
267,1386,2476.12707068545,1451.24446998937,4120.97245158982
303,NA,2810.91084215855,1119.40999526752,5581.57794307017
339,NA,3223.49616517147,754.274506436722,7493.09363366571
