time,Y,Ybar,Ybar_lo,Ybar_hi
1,326920,425068.477090894,386814.479212088,463489.03535363
2,190520,286893.839975323,234270.480326781,347790.911221165
3,203760,226712.671747647,179161.435543406,283870.378439411
4,174800,202926.990277718,164194.701181282,244226.706267941
5,367200,200997.072163162,171093.989735166,226239.766790892
6,198800,216597.424851613,187359.12009266,246352.943963479
7,255200,250569.621168862,191539.419787154,319383.370918524
8,268000,307713.810162303,194317.890837161,442341.432782138
9,NA,397286.209993481,200662.857467719,641201.994633531
10,NA,534771.874746254,211051.48302182,965697.373582829
