time,Y,Ybar,Ybar_lo,Ybar_hi
1,4526,4138.57615546494,3925.03919392589,4386.15734927982
2,4206,4471.84667187581,4174.32497961184,4904.81893257643
3,5215,4745.93850160335,4411.80468906011,5231.36623878567
4,5887,4974.63474737179,4592.58537171188,5418.17296603161
5,4306,5171.84543056914,4747.73055248876,5559.04339509435
6,4327,5348.62414365718,4873.41561610026,5874.73707400396
7,5868,5513.82179799988,4896.45943478029,6327.60747401798
8,7359,5674.72486632386,4802.97934263037,6845.98743604276
9,NA,5837.32927050442,4687.51357434991,7431.17068216133
10,NA,6006.28165675775,4515.78441975178,8085.33292604994
