time,Y,Ybar,Ybar_lo,Ybar_hi
1,1644,1215.85541367609,1160.97418158707,1285.24598187456
2,1467,1503.9870221912,1438.06964208277,1634.8299791917
3,1823,1825.4627019359,1726.40087714443,2014.38284311583
4,1969,2172.79350898236,2037.07009637903,2402.94176524233
5,2810,2536.34400776895,2373.58848085109,2768.85121847613
6,2685,2905.79724122621,2722.74847972529,3095.80450817941
7,3006,3272.0557552936,3063.85084913472,3479.72517154675
8,2090,3629.01778738872,3292.73135919863,4057.76929672238
9,NA,3974.51570657338,3286.16884457376,4722.94600540766
10,NA,4310.0175363024,3174.63727411121,5472.33600407328
