time,Y,Ybar,Ybar_lo,Ybar_hi
1,994,988.334468641378,931.439818864793,1040.91230815616
2,1036,1023.33719129668,920.749459230751,1120.07346433429
3,1223,1052.65950395332,917.103347502041,1184.14375678781
4,1128,1077.5944644022,925.18822452433,1210.1336086596
5,1304,1101.38848735804,948.490490973908,1213.16755165391
6,516,1128.21195688476,961.537492931221,1219.62319587135
7,1742,1163.20884397881,964.789369691733,1295.22691649602
8,930,1213.98093987567,969.609726722769,1497.69873943975
9,NA,1294.3311266946,975.235250854158,1841.73131396294
10,NA,1433.42278694128,957.817183623674,2474.61710831571
