time,Y,Ybar,Ybar_lo,Ybar_hi
1,1570,1578.11047615125,1488.91615369705,1646.540645588
2,1613,1480.28715851193,1373.12768553949,1561.82895056126
3,1250,1419.02342416212,1321.20634374028,1492.30013040916
4,1164,1382.3317433745,1306.23134392494,1441.8827120974
5,1318,1364.24542906992,1296.19489543345,1410.01742330905
6,1237,1363.31879365704,1267.6286641653,1430.83597138921
7,1704,1379.29814983931,1232.56992193212,1502.85515924313
8,1615,1412.68922498074,1196.38235438713,1608.91223348227
9,NA,1464.67369812217,1150.36385230187,1750.82495072096
10,NA,1537.13017069432,1103.57844207473,1934.82387068548
