time,Y,Ybar,Ybar_lo,Ybar_hi
1,1059,799.560041033932,744.347769419609,860.256237807297
2,655,751.21694403851,663.430726612772,823.882077275257
3,817,736.457814938947,634.123096623694,815.562098696603
4,730,749.719675503647,668.826709629892,818.130854321909
5,1080,791.794245381987,735.661193105018,841.066849256771
6,911,869.649125244107,770.173678760433,1023.65657322202
7,1081,998.808199234851,778.263495905983,1405.31295439284
8,686,1209.57409890291,793.379195773445,2085.77643351274
9,NA,1560.88505894697,816.656112963048,3333.75272693384
10,NA,2171.05633334989,844.901696747763,5714.90734705028
