time,Y,Ybar,Ybar_lo,Ybar_hi
1,396,876.507769423369,805.813361041897,957.409372634749
2,621,1044.79880325821,909.693022480573,1162.98569442134
3,1499,1237.25834808367,1051.88146656411,1446.04807922754
4,1695,1452.6284686986,1241.48649980171,1750.94643981758
5,1640,1690.50180293126,1491.65413146013,2035.71015277254
6,1741,1952.22081729411,1726.51160196519,2298.17484396317
7,1828,2242.36237631153,1850.23624041835,2681.11868697437
8,1164,2571.10507810276,1950.77754914524,3372.9729691889
9,NA,2957.83160307278,2034.23505969692,4436.98553337191
10,NA,3436.69745387261,1962.18080150561,5986.28756586292
