time,Y,Ybar,Ybar_lo,Ybar_hi
1,495,633.822538369086,595.6602618452,674.25183457919
2,568,642.63800326022,551.167597857246,708.866153224574
3,705,671.279452184201,577.056700986181,741.685158188362
4,1160,710.822474577197,629.918619757238,765.910035250188
5,673,758.532077759351,698.193275305887,822.597573685251
6,1072,813.254020541046,729.67588755014,929.565529887362
7,655,874.621386527816,739.897788717499,1092.37370053283
8,809,943.245239790658,734.296642775291,1283.38125569857
9,NA,1021.00270627052,707.587790945952,1537.01022765201
10,NA,1111.16421365443,671.608075764982,1856.68213046054
