time,Y,Ybar,Ybar_lo,Ybar_hi
1,509,487.741166970428,464.397659129651,511.803570807409
2,364,496.699216815198,425.899927343329,562.816687865994
3,465,512.832148444273,421.879869832708,603.928459444068
4,637,536.049956339407,457.043243565878,630.3720679302
5,495,568.803930998378,522.969919829326,645.759814320455
6,659,617.157272143086,567.820022290764,742.604412426794
7,968,693.799312614523,565.264347983321,1035.09838317731
8,630,825.802984388543,546.70356284269,1634.10515743375
9,NA,1074.73511291196,522.699059119102,2840.31453195947
10,NA,1591.53876743955,494.400740515515,5463.30034869342
