time,Y,Ybar,Ybar_lo,Ybar_hi
1,4696,5813.53408360543,5738.44367821436,5871.71834575236
2,5726,5760.56691353582,5550.89532229671,5907.89649104229
3,6726,5767.32122807539,5495.21342408887,5970.55804804326
4,5795,5846.82853971345,5572.74481224726,6067.23951020766
5,5747,6014.00793955745,5787.77642340108,6217.59382439069
6,5969,6283.54618994095,6095.78075398379,6529.55493662094
7,7084,6672.89655136582,6256.34132524262,7162.32468846786
8,6315,7205.87515687865,6375.37122275806,8222.72278298394
9,NA,7916.34891185353,6495.52224564859,9744.45699286607
10,NA,8853.07168426179,6628.41332422581,11918.1221553085
