time,Y,Ybar,Ybar_lo,Ybar_hi
1,959,649.719778851021,585.722672748096,712.291934083601
2,1168,937.74291456031,764.801478250946,1086.16954824448
3,1613,1196.47439340399,948.18650484776,1379.5414186076
4,1672,1378.4301376457,1137.97904050799,1506.02851092313
5,1277,1473.59264019157,1313.78343828119,1570.80068984624
6,1361,1497.69035722036,1281.4655237008,1659.14790929281
7,1594,1474.68387187342,1071.64151810135,1814.62910339494
8,1352,1426.29815965638,852.171824842288,2015.47105914192
9,NA,1368.51557575165,654.055761296395,2256.64741334096
10,NA,1311.70574544069,488.884391295549,2507.1411746298
