time,Y,Ybar,Ybar_lo,Ybar_hi
1,1176,1245.11850364242,983.506389477657,1356.18753715393
2,1037,1198.12716971619,812.451327545299,1391.98189788502
3,1234,1207.04999759187,930.18531195828,1412.36785697082
4,1270,1236.30965579926,1118.01740214742,1405.79464195157
5,1308,1267.50656293013,1173.8539461668,1466.45183625715
6,1458,1287.37868679996,1190.31020446649,1536.76056498453
7,1153,1295.37495920179,1179.15059837121,1621.47420283761
8,1271,1302.78435155805,1142.8504464301,1761.42375698852
9,NA,1325.54819232578,992.590313892931,2110.70426581177
10,NA,1379.19237837688,784.91380737714,2622.18644548755
