time,Y,Ybar,Ybar_lo,Ybar_hi
1,1480,1730.48213312504,1640.14824727222,1806.42648848352
2,1840,1685.77127499271,1595.50221086967,1755.73742404
3,1651,1633.16448041183,1550.91433866279,1710.77662091255
4,1928,1572.82298124382,1494.07552911204,1646.91916560207
5,1655,1505.2299337691,1423.48884223249,1563.20327710736
6,1436,1431.22008058451,1334.06808391019,1497.73339566036
7,1337,1352.0120125995,1223.41971496229,1456.96285939005
8,1638,1269.20834234997,1105.06368913425,1424.59557521055
9,NA,1184.74093287744,966.962869026299,1395.38044462565
10,NA,1100.75595724896,806.077111339261,1368.52751385396
