time,Y,Ybar,Ybar_lo,Ybar_hi
1,1043,1516.68522019526,1373.47749787453,1650.93050728066
2,765,1624.05595115953,1258.16287066698,1792.90477875236
3,1445,1807.41426693028,1338.06451591631,2001.65851243741
4,2350,2073.91208436144,1634.25348834831,2302.44618856317
5,2987,2449.00288868842,2132.79395373821,2709.81939366457
6,3707,2985.43862617984,2541.12468297131,3470.54085681189
7,1891,3793.65432059652,2813.86853924211,5520.39260308314
8,1656,5123.1116225498,3107.96065708366,9881.47948811917
9,NA,7580.57724456746,3431.85065024626,19741.3542070049
10,NA,12732.8285060958,3790.08435050415,43533.5538462815
